Data,"Aquisição de usuários (Novos usuários, Todos os eventos, Por intervalo, Diária): Brasil","Público de instalação (Todos os usuários, Usuários únicos, Por intervalo, Diária): Brasil",Observações
01/08/2020,2,1.302,
02/08/2020,9,1.321,
03/08/2020,7,1.313,
04/08/2020,4,1.328,
05/08/2020,5,1.310,
06/08/2020,4,1.318,
07/08/2020,6,1.320,
08/08/2020,3,1.319,
09/08/2020,5,1.329,
10/08/2020,3,1.316,
11/08/2020,3,1.332,
12/08/2020,6,1.324,
13/08/2020,3,1.333,
14/08/2020,6,1.341,
15/08/2020,10,1.331,
16/08/2020,1,1.329,
17/08/2020,5,1.331,
18/08/2020,8,1.350,
19/08/2020,7,1.337,
20/08/2020,9,1.360,
21/08/2020,4,1.351,
22/08/2020,12,1.360,
23/08/2020,5,1.354,
24/08/2020,6,1.368,
25/08/2020,5,1.371,
26/08/2020,8,1.368,
27/08/2020,7,1.381,
28/08/2020,2,1.373,
29/08/2020,4,1.374,
30/08/2020,3,1.370,
31/08/2020,6,1.377,
01/09/2020,7,1.368,
02/09/2020,11,1.377,
03/09/2020,4,1.369,
04/09/2020,8,1.386,
05/09/2020,5,1.377,
06/09/2020,5,1.391,
07/09/2020,6,1.390,
08/09/2020,5,1.396,
09/09/2020,6,1.405,
10/09/2020,12,1.408,
11/09/2020,2,1.411,
12/09/2020,1,1.399,
13/09/2020,3,1.406,
14/09/2020,6,1.432,
15/09/2020,9,1.408,
16/09/2020,10,1.422,
17/09/2020,9,1.415,
18/09/2020,7,1.419,
19/09/2020,5,1.425,
20/09/2020,4,1.426,
21/09/2020,2,1.427,
22/09/2020,2,1.424,
23/09/2020,6,1.422,
24/09/2020,5,1.418,
25/09/2020,2,1.445,
26/09/2020,6,1.434,
27/09/2020,1,1.434,
28/09/2020,7,1.434,
29/09/2020,4,1.433,
30/09/2020,8,1.429,
01/10/2020,4,1.443,
02/10/2020,4,1.438,
03/10/2020,5,1.438,
04/10/2020,6,1.448,
05/10/2020,4,1.434,
06/10/2020,8,1.433,Atualização da métrica: A reconciliação de dados durante esse período pode resultar em um aumento único nas desinstalações relatadas.
07/10/2020,6,1.432,
08/10/2020,4,1.445,
09/10/2020,3,1.433,
10/10/2020,1,1.437,
11/10/2020,2,1.428,
12/10/2020,2,1.438,
13/10/2020,4,1.429,
14/10/2020,6,1.432,
15/10/2020,5,1.423,
16/10/2020,4,1.433,
17/10/2020,6,1.445,
18/10/2020,4,1.441,
19/10/2020,6,1.455,
20/10/2020,5,1.448,
21/10/2020,0,1.443,
22/10/2020,7,1.444,
23/10/2020,3,1.442,
24/10/2020,3,1.434,
25/10/2020,1,1.430,
26/10/2020,4,1.439,
27/10/2020,4,1.426,
28/10/2020,1,1.433,
29/10/2020,3,1.423,
30/10/2020,9,1.425,
31/10/2020,2,1.435,
01/11/2020,3,1.424,
02/11/2020,4,1.426,
03/11/2020,7,1.438,
04/11/2020,7,1.437,
05/11/2020,2,1.441,
06/11/2020,0,1.442,
07/11/2020,6,1.435,
08/11/2020,1,1.444,
09/11/2020,5,1.436,
10/11/2020,5,1.438,
11/11/2020,4,1.458,
12/11/2020,5,1.440,
13/11/2020,6,1.470,
14/11/2020,0,1.463,
15/11/2020,2,1.434,
16/11/2020,5,1.460,
17/11/2020,3,1.432,
18/11/2020,2,1.442,
19/11/2020,5,1.446,
20/11/2020,3,1.443,
21/11/2020,1,1.435,
22/11/2020,2,1.437,
23/11/2020,2,1.432,
24/11/2020,4,1.429,
25/11/2020,3,1.431,
26/11/2020,5,1.449,
27/11/2020,2,1.437,
28/11/2020,5,1.436,
29/11/2020,2,1.422,
30/11/2020,3,1.419,
01/12/2020,4,1.439,
02/12/2020,5,1.430,
03/12/2020,4,1.427,
04/12/2020,7,1.447,Lançamento da versão: Início do lançamento de 225 (1.1.1) em 100%.
05/12/2020,1,1.433,
06/12/2020,3,1.448,
07/12/2020,4,1.436,
08/12/2020,1,1.440,
09/12/2020,3,1.425,
10/12/2020,5,1.440,
11/12/2020,5,1.429,
12/12/2020,3,1.443,
13/12/2020,1,1.435,
14/12/2020,7,1.426,
15/12/2020,6,1.456,Lançamento da versão: Início do lançamento de 240 (1.1.2) em 100%.
16/12/2020,5,1.449,
17/12/2020,7,1.455,
18/12/2020,2,1.456,
19/12/2020,1,1.452,
20/12/2020,5,1.448,
21/12/2020,7,1.460,
22/12/2020,2,1.452,
23/12/2020,1,1.457,
24/12/2020,4,1.459,
25/12/2020,5,1.433,
26/12/2020,3,1.458,
27/12/2020,2,1.454,
28/12/2020,2,1.477,
29/12/2020,8,1.477,
30/12/2020,4,1.457,
31/12/2020,1,1.458,
01/01/2021,4,1.463,
02/01/2021,6,1.463,
03/01/2021,2,1.479,
04/01/2021,7,1.449,
05/01/2021,5,1.454,
06/01/2021,3,1.488,
07/01/2021,7,1.460,
08/01/2021,7,1.467,
09/01/2021,2,1.445,
10/01/2021,1,1.465,
